Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
79,Anthony Carter\cartean01,PG,33,DEN,78,1787,10.8,.490,.228,.202,2.7,10.4,6.7,29.9,2.7,0.6,26.9,14.3,,-0.3,2.1,1.8,.047,,-2.0,0.8,-1.3,0.3
80,Vince Carter\cartevi01,SG,32,NJN,80,2946,19.3,.545,.291,.305,3.0,13.8,8.3,23.7,1.5,1.1,9.8,26.8,,5.7,1.8,7.5,.123,,3.3,-0.8,2.4,3.3
81,Mario Chalmers\chalmma01,PG,22,MIA,82,2626,13.3,.548,.470,.292,1.7,8.8,5.2,23.5,3.3,0.2,18.1,16.3,,2.1,3.1,5.2,.095,,-1.4,1.1,-0.4,1.0
82,Tyson Chandler\chandty01,C,26,NOH,45,1445,13.4,.581,.000,.470,13.7,19.2,16.4,2.4,0.6,3.3,17.0,13.7,,1.7,1.7,3.4,.114,,-1.6,-0.9,-2.5,-0.2
83,Wilson Chandler\chandwi01,SF,21,NYK,82,2735,12.9,.515,.298,.204,3.5,14.7,8.9,9.9,1.3,2.0,10.8,20.5,,1.0,2.1,3.1,.054,,-1.0,0.0,-1.0,0.7
84,Speedy Claxton\claxtsp01,PG,30,ATL,2,15,5.7,.317,.000,.286,0.0,0.0,0.0,32.4,0.0,0.0,0.0,24.6,,0.0,0.0,0.0,-0.083,,-5.1,-3.9,-9.0,0.0
85,Jarron Collins\collija03,C,30,UTA,26,201,5.8,.502,.000,.314,11.9,10.1,11.0,4.9,0.5,0.4,18.4,10.9,,0.1,0.1,0.2,.047,,-4.5,-1.6,-6.1,-0.2
86,Jason Collins\collija04,C,30,MIN,31,422,3.3,.346,.000,.400,7.5,12.1,9.7,3.7,1.1,2.4,12.7,10.1,,-0.4,0.3,-0.2,-0.018,,-6.9,-0.2,-7.2,-0.6
87,Mardy Collins\collima01,PG-SG,24,TOT,48,890,9.5,.470,.126,.186,3.9,10.1,6.9,19.8,1.8,0.8,17.8,16.6,,-0.5,0.4,-0.1,-0.003,,-3.4,0.0,-3.5,-0.3
87,Mardy Collins\collima01,SG,24,NYK,9,75,5.0,.371,.130,.391,2.8,9.1,5.8,19.3,1.3,0.0,15.6,18.5,,-0.2,0.0,-0.1,-0.077,,-5.3,-1.0,-6.4,-0.1
87,Mardy Collins\collima01,PG,24,LAC,39,815,9.9,.481,.125,.165,4.0,10.2,7.0,19.9,1.9,0.9,18.1,16.4,,-0.3,0.4,0.1,.004,,-3.2,0.0,-3.2,-0.2
88,Nick Collison\collini01,C,28,OKC,71,1831,14.8,.599,.005,.318,11.2,19.7,15.4,5.8,1.4,2.0,13.0,13.5,,3.0,2.0,5.0,.130,,-1.5,0.3,-1.2,0.4
89,Mike Conley\conlemi01,PG,21,MEM,82,2508,14.3,.548,.297,.270,1.2,12.5,6.8,23.7,1.9,0.3,14.9,17.9,,2.7,1.9,4.5,.086,,0.0,-0.3,-0.3,1.1
90,Brian Cook\cookbr01,PF,28,TOT,30,171,7.6,.470,.395,.079,4.8,16.1,10.6,5.1,0.9,1.3,14.2,24.8,,-0.3,0.3,0.0,-0.001,,-5.2,-1.0,-6.2,-0.2
90,Brian Cook\cookbr01,PF,28,ORL,21,146,7.6,.495,.417,.100,4.8,15.8,10.4,4.7,1.1,0.0,14.9,23.3,,-0.2,0.2,0.1,.019,,-4.7,-1.1,-5.8,-0.1
90,Brian Cook\cookbr01,PF,28,HOU,9,25,7.4,.375,.313,.000,4.9,17.9,11.7,7.3,0.0,8.7,11.1,33.5,,-0.1,0.0,-0.1,-0.120,,-7.9,-0.7,-8.6,0.0
91,Daequan Cook\cookda02,SF,21,MIA,75,1833,10.3,.512,.612,.087,1.2,11.2,6.2,6.2,1.1,0.4,5.9,18.2,,0.9,1.3,2.2,.056,,-0.8,-1.4,-2.1,0.0
92,Jamal Crawford\crawfja01,PG-SG,28,TOT,65,2479,15.1,.545,.386,.337,1.0,7.5,4.2,18.1,1.1,0.4,11.2,22.8,,3.3,0.0,3.3,.065,,1.3,-2.6,-1.3,0.5
92,Jamal Crawford\crawfja01,SG,28,NYK,11,392,15.7,.571,.456,.272,0.5,4.3,2.4,20.0,1.1,0.0,12.1,23.9,,0.6,0.1,0.7,.083,,2.3,-2.0,0.3,0.2
92,Jamal Crawford\crawfja01,PG,28,GSW,54,2087,15.0,.541,.372,.349,1.1,8.1,4.6,17.8,1.1,0.4,11.0,22.6,,2.7,-0.1,2.7,.061,,1.1,-2.7,-1.6,0.2
93,Joe Crawford\crawfjo01,SF,22,NYK,2,23,10.8,.414,.400,.200,4.6,14.8,9.5,6.5,2.2,0.0,0.0,20.6,,0.0,0.0,0.0,.037,,-2.5,-0.2,-2.7,0.0
